VesselName,MMSI,VesselType,Length,Width,SOG,Status
ALEUTIAN NO 1,366988820,1001,37.22,9.73,10.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,10.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,7.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.6,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.5,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.3,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,8.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.2,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.1,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.4,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.7,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,9.8,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,10,engaged in fishing
ALEUTIAN NO 1,366988820,1001,37.22,9.73,10,engaged in fishing
